soil_type,crop_type,soil_pH,nitrogen,phosphorus,potassium,bio_name,type,buy,diy
red,rice,6.9,86,71,77,PSB,diy,Available in agri shop,Bone meal compost
red,millet,5.0,99,17,56,Mycorrhiza,market,Available in agri shop,Organic compost mix
sandy,cotton,7.7,66,30,13,Frateuria aurantia,market,Available in agri shop,Wood ash
loamy,wheat,7.6,50,71,53,PSB,diy,Available in agri shop,Bone meal compost
black,cotton,5.1,63,22,66,PSB,diy,Available in agri shop,Bone meal compost
loamy,pulses,6.3,43,14,31,PSB,diy,Available in agri shop,Bone meal compost
clayey,rice,6.6,72,68,17,Potash mobilizing bacteria,market,Available in agri shop,Banana peel compost
sandy,rice,7.1,46,34,50,Azotobacter,market,Available in agri shop,Vermicompost
black,rice,7.2,90,64,27,Potash mobilizing bacteria,market,Available in agri shop,Banana peel compost
sandy,maize,6.4,61,71,45,Rhizobium,diy,Available in agri shop,Legume compost
red,millet,5.0,94,46,45,Mycorrhiza,market,Available in agri shop,Organic compost mix
sandy,maize,6.1,22,5,41,Azospirillum,market,Available in agri shop,Compost slurry
loamy,wheat,6.4,43,43,62,PSB,market,Available in agri shop,Bone meal compost
clayey,millet,6.9,99,17,13,Mycorrhiza,diy,Available in agri shop,Organic compost mix
loamy,sugarcane,8.4,25,66,65,Rhizobium,market,Available in agri shop,Legume compost
clayey,maize,6.5,29,16,25,Rhizobium,diy,Available in agri shop,Legume compost
red,maize,7.2,85,7,62,Mycorrhiza,diy,Available in agri shop,Organic compost mix
sandy,pulses,5.1,36,20,43,Rhizobium,market,Available in agri shop,Legume compost
red,cotton,6.8,100,50,55,Azospirillum,market,Available in agri shop,Compost slurry
loamy,cotton,6.8,81,65,77,PSB,market,Available in agri shop,Bone meal compost
sandy,millet,6.5,59,67,6,Frateuria aurantia,market,Available in agri shop,Wood ash
loamy,wheat,5.5,17,59,34,Azospirillum,market,Available in agri shop,Compost slurry
clayey,rice,5.7,86,37,59,Rhizobium,diy,Available in agri shop,Legume compost
sandy,potato,8.0,16,77,63,Azotobacter,market,Available in agri shop,Vermicompost
sandy,millet,6.7,57,61,74,PSB,diy,Available in agri shop,Bone meal compost
red,millet,6.9,29,13,46,Azotobacter,market,Available in agri shop,Vermicompost
red,pulses,5.5,39,19,35,Rhizobium,market,Available in agri shop,Legume compost
red,potato,6.2,52,10,32,PSB,diy,Available in agri shop,Bone meal compost
clayey,sugarcane,8.1,86,63,6,Potash mobilizing bacteria,market,Available in agri shop,Banana peel compost
clayey,rice,5.8,56,31,49,Frateuria aurantia,diy,Available in agri shop,Wood ash
loamy,wheat,7.2,22,53,78,Rhizobium,diy,Available in agri shop,Legume compost
black,cotton,8.4,64,50,61,Azospirillum,diy,Available in agri shop,Compost slurry
sandy,potato,5.1,97,53,21,Potash mobilizing bacteria,market,Available in agri shop,Banana peel compost
clayey,rice,6.8,59,68,35,Azotobacter,market,Available in agri shop,Vermicompost
red,cotton,8.3,21,65,57,Azotobacter,diy,Available in agri shop,Vermicompost
loamy,millet,5.4,83,17,5,Mycorrhiza,diy,Available in agri shop,Organic compost mix
loamy,sugarcane,5.4,38,48,60,Azospirillum,market,Available in agri shop,Compost slurry
sandy,rice,7.7,49,69,53,Frateuria aurantia,market,Available in agri shop,Wood ash
red,rice,6.4,93,50,44,Frateuria aurantia,diy,Available in agri shop,Wood ash
